Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-10-24 09:48:38,false,"Lund Running","4.57","293","00:24:28","144","160","3.0","161","172","5:21","4:36","26","26","1.16","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:56.94","5","0.0","00:24:12","00:25:12","26","42"
Running,2022-09-30 19:27:35,false,"Lund - 6x1km Cruise intervals","10.48","627","00:49:01","154","176","3.9","167","191","4:41","3:36","141","146","1.28","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","15","0.0","00:48:48","00:49:41","-73","39"
Running,2022-09-27 19:24:03,false,"Lund - Fartlek Run 12xtimes","9.20","541","00:45:30","145","170","3.4","163","185","4:57","3:34","67","66","1.24","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.06.4","30","0.0","00:44:57","00:51:07","26","50"
Running,2022-09-25 12:37:09,false,"Lund Running","13.51","850","01:06:15","156","183","4.5","167","179","4:54","3:55","89","97","1.22","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:05.29.4","14","0.0","01:06:03","01:06:31","7","43"
Running,2022-09-25 12:14:48,false,"Lund Running","1.60","109","00:10:18","129","147","2.0","130","184","6:26","3:46","8","4","1.21","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:58.79.4","2","0.0","00:09:35","00:11:23","31","38"
Running,2022-09-23 18:11:36,false,"Lund Running","7.02","416","00:32:21","152","169","3.5","165","178","4:37","4:10","29","29","1.32","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.46","8","0.0","00:31:56","00:33:57","10","35"
Running,2022-09-21 19:45:00,false,"Lund Running","1.59","100","00:08:48.5","143","164","2.3","157","174","5:32","4:27","48","54","1.16","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.93.2","3","0.0","00:08:24","00:13:17","30","72"
Running,2022-09-21 18:16:41,false,"Lund Running","11.49","689","00:58:10","144","178","3.7","161","183","5:04","2:57","65","63","1.22","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:06.59.3","13","0.0","00:57:31","01:02:29","8","42"
Running,2022-09-16 10:45:54,false,"Lund Running","10.37","641","00:47:40","160","180","4.4","166","179","4:36","3:56","69","66","1.31","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:31.38.4","11","0.0","00:47:09","00:52:22","26","77"
Running,2022-09-13 18:10:01,false,"Lund Running","6.43","375","00:33:50","133","146","2.8","163","172","5:16","4:33","49","44","1.17","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:12.97","7","0.0","00:33:42","00:33:50","8","41"
Running,2022-09-12 18:57:07,false,"Lund Running","12.42","744","01:00:13","149","166","4.0","163","175","4:51","4:11","91","92","1.26","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:55.61","13","0.0","00:59:56","01:00:43","7","50"
Running,2022-09-09 08:50:39,false,"Lund Running","5.07","303","00:24:06","148","164","3.2","164","177","4:45","4:07","5","14","1.28","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:18.90.6","6","0.0","00:23:59","00:24:16","28","39"
Running,2022-09-04 18:07:13,false,"Lund Running","2.90","177","00:15:00","138","157","2.1","154","174","5:10","4:23","22","19","1.25","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:21.51","3","0.0","00:00:00","02:17:52","-14","51"
Running,2022-09-03 15:15:13,false,"Lund Running","2.20","132","00:10:25","150","164","2.5","164","175","4:44","4:06","4","15","1.29","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:51.93.1","3","0.0","00:00:00","00:10:30","29","45"
Running,2022-09-03 14:47:25,false,"Lund Running","3.98","223","00:18:41","147","179","2.9","155","183","4:42","3:25","40","--","1.35","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.27.4","8","0.0","00:00:00","00:27:23","5","48"
Running,2022-08-28 13:40:10,false,"Lund Running","10.01","619","00:48:11","155","172","4.1","166","178","4:49","3:58","30","67","1.25","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.44.8","11","0.0","00:00:00","00:50:36","-1","42"
Running,2022-08-26 18:13:22,false,"Lund Bieganie","5.81","372","00:27:16","166","185","3.8","165","177","4:42","3:43","46","36","1.29","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:28.27.6","6","0.0","00:27:14","00:27:27","23","44"
Running,2022-08-25 19:17:45,false,"Lund Bieganie","5.02","295","00:22:33","157","172","3.4","162","174","4:29","4:00","34","34","1.37","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.47.9","6","0.0","00:22:04","00:23:52","28","43"
Running,2022-08-15 12:13:35,false,"Izabelin Bieganie","6.01","355","00:29:02","154","173","3.5","162","175","4:50","4:02","31","31","1.27","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.59.6","7","0.0","00:28:45","00:30:00","91","102"
Running,2022-08-08 10:54:10,false,"Warszawa Bieganie","6.20","358","00:31:13","145","171","3.2","160","181","5:02","3:53","58","64","1.24","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.00","8","0.0","00:31:03","00:33:14","78","94"
Running,2022-08-05 17:58:08,false,"Czaplinek Bieganie","1.36","118","00:24:35","111","128","0.5","66","160","18:05","8:30","12","13","0.85","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:24.84.2","2","0.0","00:19:17","00:24:59","148","155"
Running,2022-08-04 09:59:46,false,"Czaplinek Bieganie","3.99","259","00:21:11","156","176","3.0","162","170","5:18","4:43","13","13","1.17","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:05.95.9","4","0.0","00:21:02","00:21:28","148","155"
Running,2022-08-01 22:26:53,false,"Warszawa Bieganie","7.41","452","00:35:32","157","178","3.8","164","179","4:48","4:08","81","89","1.27","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:51.03.7","8","0.0","00:35:20","00:36:18","77","92"
Running,2022-07-24 12:35:17,false,"Izabelin Bieganie","6.83","412","00:38:52","140","158","2.9","155","181","5:42","4:40","148","144","1.13","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:57.87.2","7","0.0","00:37:30","00:41:46","90","153"
Running,2022-07-22 15:29:28,false,"Warszawa Bieganie","9.01","604","00:45:38","174","189","4.3","161","230","5:04","4:25","125","126","1.23","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:34.47.1","10","0.0","00:45:16","00:56:59","77","103"
Running,2022-07-17 19:32:47,false,"Rzewnie Bieganie","6.33","385","00:32:14","148","158","3.2","164","175","5:05","4:41","44","45","1.20","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:42.57.8","7","0.0","00:32:12","00:32:14","81","95"
Running,2022-07-16 00:48:31,false,"Warszawa Bieganie","0.08","5","00:00:31.8","130","144","0.4","130","170","6:41","4:54","--","--","1.16","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:31.75","1","0.0","00:00:26","00:00:31.8","119","121"
Running,2022-07-06 19:22:37,false,"Warszawa Bieganie","6.88","430","00:37:06","146","171","3.3","162","185","5:24","4:18","70","71","1.14","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:14.86.7","7","0.0","00:36:37","00:39:13","80","96"
Running,2022-07-04 21:51:15,false,"Warszawa Bieganie","6.69","420","00:34:43","150","171","3.4","163","207","5:11","3:53","62","64","1.18","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:35.88.8","7","0.0","00:34:29","00:35:51","74","87"
Running,2022-07-02 19:29:17,false,"Warszawa Bieganie","1.88","112","00:10:29","132","154","2.1","161","189","5:34","4:39","14,819","14,842","1.12","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:40.67","2","0.0","00:10:12","00:11:16","77","7,514"
Running,2022-07-02 18:14:59,false,"Warszawa Bieganie","3.89","246","00:20:18","150","163","3.0","162","174","5:13","4:32","85","58","1.19","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:50.14","4","0.0","00:20:03","00:21:52","74","133"
Treadmill Running,2022-06-20 18:41:13,false,"Bieg na bieżni","1.86","121","00:14:25","122","131","1.0","151","186","7:44","5:50","--","--","0.85","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:50.50.5","2","0.0","00:13:32","00:14:25","--","--"
Running,2022-05-16 20:35:15,false,"Warszawa Bieganie","1.18","72","00:06:10.4","143","165","2.0","148","177","5:15","4:05","20","12","1.29","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:15.26.1","2","0.0","00:05:54","00:09:30.8","86","105"
Running,2022-05-04 18:35:14,false,"Warszawa Bieganie","6.71","435","00:35:25","149","162","3.1","164","219","5:17","4:02","61","63","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:35.33.7","7","0.0","00:35:12","00:39:36","77","93"
