Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GCT Balance;Avg Run Cadence;Max Run Cadence;Training Stress Score®;Avg Power;Max Power;Grit;Flow;Avg. Swolf;Avg Stroke Rate;Total Reps;Dive Time;Min Temp;Surface Interval;Decompression;Best Lap Time;Number of Laps;Max Temp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;24.10.2022 09:48;false;Lund Running;kwi.57;293;00:24:28;144;160;3.0;161;172;05:21;04:36;26;26;sty.16;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;02:56.94;5;0.0;00:24:12;00:25:12;26;42
Running;30.09.2022 19:27;false;Lund - 6x1km Cruise intervals;pa�.48;627;00:49:01;154;176;03.wrz;167;191;04:41;03:36;141;146;sty.28;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;02:00.00;15;0.0;00:48:48;00:49:41;-73;39
Running;27.09.2022 19:24;false;Lund - Fartlek Run 12xtimes;wrz.20;541;00:45:30;145;170;03.kwi;163;185;04:57;03:34;67;66;sty.24;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;06.04.2022 00:05;30;0.0;00:44:57;00:51:07;26;50
Running;25.09.2022 12:37;false;Lund Running;13.51;850;01:06:15;156;183;04.maj;167;179;04:54;03:55;89;97;sty.22;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;29.04.2022 02:05;14;0.0;01:06:03;01:06:31;7;43
Running;25.09.2022 12:14;false;Lund Running;sty.60;109;00:10:18;129;147;2.0;130;184;06:26;03:46;8;4;sty.21;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:58.79.4;2;0.0;00:09:35;00:11:23;31;38
Running;23.09.2022 18:11;false;Lund Running;07.lut;416;00:32:21;152;169;03.maj;165;178;04:37;04:10;29;29;sty.32;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:07.46;8;0.0;00:31:56;00:33:57;10;35
Running;21.09.2022 19:45;false;Lund Running;sty.59;100;00:08:48.5;143;164;02.mar;157;174;05:32;04:27;48;54;sty.16;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:09.93.2;3;0.0;00:08:24;00:13:17;30;72
Running;21.09.2022 18:16;false;Lund Running;lis.49;689;00:58:10;144;178;03.lip;161;183;05:04;02:57;65;63;sty.22;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:06.59.3;13;0.0;00:57:31;01:02:29;8;42
Running;16.09.2022 10:45;false;Lund Running;pa�.37;641;00:47:40;160;180;04.kwi;166;179;04:36;03:56;69;66;sty.31;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:31.38.4;11;0.0;00:47:09;00:52:22;26;77
Running;13.09.2022 18:10;false;Lund Running;cze.43;375;00:33:50;133;146;02.sie;163;172;05:16;04:33;49;44;sty.17;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;02:12.97;7;0.0;00:33:42;00:33:50;8;41
Running;12.09.2022 18:57;false;Lund Running;gru.42;744;01:00:13;149;166;4.0;163;175;04:51;04:11;91;92;sty.26;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:55.61;13;0.0;00:59:56;01:00:43;7;50
